Price,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC,AAPL,AMD,AMZN,MSFT,MU,NVDA,^GSPC
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-03-19,214.1087188720703,106.2300033569336,195.5399932861328,384.0417785644531,101.68389129638672,117.35553741455078,5675.2900390625,217.6102070663037,107.9000015258789,195.97000122070312,385.8836435250732,103.21821707961944,120.28143743378797,5715.330078125,212.6265447449941,101.95999908447266,191.9600067138672,380.2589866011294,100.11967728381815,115.51811599486,5622.2001953125,213.09407567170305,104.41999816894531,193.3800048828125,381.7740797920575,100.44846300907068,117.10588726826337,5632.3701171875,54385400,32287500,39442900,19185500,16633100,273426200,4660090000
2025-03-20,212.97470092773438,107.13999938964844,194.9499969482422,383.0713195800781,102.62042236328125,118.36412048339844,5662.89013671875,216.3468825511506,108.26000213623047,199.32000732421875,387.97310772514027,104.30419677427238,120.03178155242583,5711.14990234375,211.10457731145533,105.12000274658203,192.3000030517578,379.5460042678497,100.9765014556526,116.30700581426807,5632.330078125,212.86527847830126,105.12000274658203,193.07000732421875,381.98202996781214,101.20565719966714,116.3868956857552,5646.919921875,48862900,26871800,38921100,18470500,29204400,248829700,4678420000
2025-03-21,217.12277221679688,106.44000244140625,196.2100067138672,387.4482727050781,94.3709487915039,117.5352783203125,5667.56005859375,217.68976839110027,107.25,196.99000549316406,387.92357710345186,98.13701790716819,117.82487338576216,5670.83984375,210.16950634984832,104.33000183105469,192.52000427246094,379.07067004050685,93.35470333412435,115.25847035053427,5603.10009765625,210.4480334492585,105.33000183105469,192.89999389648438,379.4865916093534,97.83812039587315,116.77634740953133,5630.72998046875,94127800,30767900,60056900,39675900,63239600,266498500,9367460000
2025-03-24,219.56983947753906,113.8499984741211,203.25999450683594,389.2505187988281,96.58277130126953,121.24009704589844,5767.56982421875,220.3158974796034,114.8499984741211,203.63999938964844,391.54792412450786,98.05731313415384,122.04896105750126,5775.14013671875,217.4311459430569,109.4000015258789,199.9499969482422,386.012386704804,94.97870366326346,119.17298658297102,5718.080078125,219.8384246082871,109.7300033569336,200.0,391.54792412450786,95.74586281126305,119.71223179694545,5718.080078125,44299500,53342000,41625400,21004500,35406600,228452500,4517990000
2025-03-25,222.57395935058594,114.80999755859375,205.7100067138672,391.3102722167969,93.83293151855469,120.5210952758789,5776.64990234375,222.9221258053629,114.94999694824219,206.2100067138672,392.4985634335279,96.02482111630928,121.12025404464302,5786.9501953125,218.9232508666907,112.70999908447266,203.22000122070312,388.81483346341923,92.90635841741829,118.75356814650013,5760.419921875,219.60962662242414,113.2699966430664,203.60000610351562,390.08236222676067,95.82556118970575,120.38129181712452,5775.9599609375,34493600,29077500,31171200,15775000,22191700,167447200,4467340000
2025-03-26,220.36563110351562,110.19000244140625,201.1300048828125,386.17083740234375,91.79048919677734,113.60079956054688,5712.2001953125,223.83729303324841,115.9000015258789,206.00999450683594,391.45881045430576,96.28387153374194,118.6736845133834,5783.6201171875,219.31120492080973,108.68000030517578,199.92999267578125,384.7844825194778,90.63476786297186,112.55226594608844,5694.41015625,222.3352199198642,114.11000061035156,205.83999633789062,391.15183295239507,95.64623060448109,118.5638454632065,5771.66015625,34466100,39824000,32855300,16108400,27107200,293463300,4183140000
2025-03-27,222.67344665527344,106.6500015258789,201.36000061035156,386.77484130859375,90.82406616210938,111.27405548095703,5693.31005859375,223.80745418869535,107.62000274658203,203.7899932861328,388.4186727261189,91.87019220291242,114.28982567832341,5732.27978515625,219.40073045135125,105.55000305175781,199.27999877929688,383.62582905803845,89.27977509070787,110.50513643809545,5670.93994140625,220.22636977863218,106.11000061035156,200.88999938964844,386.3292434732889,90.7543168247767,111.19416561141583,5695.64013671875,37094800,32773700,27317700,13766800,15658700,236902100,4403460000
2025-03-28,216.75473022460938,103.22000122070312,192.72000122070312,375.1096496582031,88.11408996582031,109.51652526855469,5580.93994140625,222.63367141455515,106.51000213623047,199.25999450683594,385.339029849346,90.55505836873756,112.71205173921601,5685.89013671875,216.53588531144595,102.4800033569336,191.8800048828125,373.2578723723651,87.27718151826517,108.91736643615505,5572.419921875,220.50491967808455,105.52999877929688,198.4199981689453,384.2992410074857,90.13660794559962,111.33397804410711,5679.2001953125,39818600,31069100,52548200,21632000,17118000,229872500,4513330000
2025-03-31,220.9624786376953,102.73999786376953,190.25999450683594,371.7328796386719,86.68251037597656,108.22832489013672,5611.85009765625,224.4341253115235,102.81999969482422,191.3300018310547,373.3965054432232,86.88202974141498,110.80471613819729,5627.56005859375,215.09348022110552,98.80000305175781,184.39999389648438,363.6622546184452,83.89917184440793,103.50494855407659,5488.72998046875,215.86937928840504,100.23999786376953,188.19000244140625,368.91063894364476,85.79463626077654,104.98287310192077,5527.91015625,65299300,30865300,63547600,35184700,21089500,299212700,5257250000
2025-04-01,222.0169219970703,102.77999877929688,192.1699981689453,378.46661376953125,88.4981689453125,109.99585723876953,5633.06982421875,222.50433685640354,102.83000183105469,193.92999267578125,379.120187514209,88.67773942870846,110.04578269736857,5650.56982421875,217.749461617725,100.93000030517578,187.1999969482422,369.59391274714585,86.04404407968524,106.32100673854832,5558.52001953125,218.65468232589998,102.16000366210938,187.86000061035156,371.00006183577835,88.31859846191654,108.36813339033893,5597.52978515625,36412700,23523200,41267300,19689500,15337100,222614000,4434500000
